Cycle=1_Fc=2-1_X,Cycle=1_Fc=2-1_Y,Cycle=15_Fc=2-1_X,Cycle=15_Fc=2-1_Y,Cycle=16_Fc=2-1_X,Cycle=16_Fc=2-1_Y,Cycle=17_Fc=2-1_X,Cycle=17_Fc=2-1_Y,Cycle=18_Fc=2-1_X,Cycle=18_Fc=2-1_Y,Cycle=19_Fc=2-1_X,Cycle=19_Fc=2-1_Y,Cycle=20_Fc=2-1_X,Cycle=20_Fc=2-1_Y,Cycle=27_Fc=2-1_X,Cycle=27_Fc=2-1_Y,Cycle=28_Fc=2-1_X,Cycle=28_Fc=2-1_Y,Cycle=29_Fc=2-1_X,Cycle=29_Fc=2-1_Y,Cycle=30_Fc=2-1_X,Cycle=30_Fc=2-1_Y,Cycle=31_Fc=2-1_X,Cycle=31_Fc=2-1_Y,Cycle=32_Fc=2-1_X,Cycle=32_Fc=2-1_Y,Cycle=33_Fc=2-1_X,Cycle=33_Fc=2-1_Y,Cycle=47_Fc=2-1_X,Cycle=47_Fc=2-1_Y,Cycle=48_Fc=2-1_X,Cycle=48_Fc=2-1_Y,Cycle=49_Fc=2-1_X,Cycle=49_Fc=2-1_Y,Cycle=50_Fc=2-1_X,Cycle=50_Fc=2-1_Y,Cycle=51_Fc=2-1_X,Cycle=51_Fc=2-1_Y,Cycle=52_Fc=2-1_X,Cycle=52_Fc=2-1_Y,Cycle=53_Fc=2-1_X,Cycle=53_Fc=2-1_Y,Cycle=54_Fc=2-1_X,Cycle=54_Fc=2-1_Y,Cycle=55_Fc=2-1_X,Cycle=55_Fc=2-1_Y,Cycle=56_Fc=2-1_X,Cycle=56_Fc=2-1_Y,Cycle=57_Fc=2-1_X,Cycle=57_Fc=2-1_Y,Cycle=58_Fc=2-1_X,Cycle=58_Fc=2-1_Y,Cycle=59_Fc=2-1_X,Cycle=59_Fc=2-1_Y
1,83.4375,1,86.8906,1,87.6348,1,88.0508,1,88.1953,1,88.5,1,88.6211,1,88.834,1,88.4668,1,87.7324,1,87.6113,1,87.502,1,87.5078,1,87.6992,1,88.8047,1,88.6426,1,88.5898,1,89.1367,1,89.1836,1,89.6094,1,89.8223,1,90.0039,1,89.6777,1,89.4883,1,90.0684,1,89.4785,1,88.9258
2,83.4863,2,86.9805,2,87.8379,2,88.0352,2,88.2109,2,88.541,2,88.5645,2,88.877,2,88.4824,2,87.8066,2,87.5176,2,87.4102,2,87.457,2,87.9063,2,88.6367,2,88.6094,2,88.6934,2,89.1191,2,89.0664,2,89.5449,2,89.7715,2,89.9512,2,89.623,2,89.5352,2,89.9785,2,89.3145,2,88.9004
3,83.377,3,87.1719,3,87.8184,3,88.0898,3,88.3887,3,88.6777,3,88.7656,3,88.7832,3,88.6953,3,87.9648,3,87.832,3,87.6699,3,87.6602,3,88.0254,3,88.707,3,88.8301,3,88.7109,3,89.1777,3,89.1719,3,89.5293,3,89.8242,3,90.041,3,89.793,3,89.6367,3,90.1016,3,89.5938,3,89.0488
4,83.7441,4,87.6816,4,88.2988,4,88.459,4,88.9414,4,89.1094,4,89.2734,4,89.2363,4,89.1094,4,88.5195,4,88.2207,4,87.9883,4,88.1211,4,88.3672,4,88.9512,4,88.7578,4,89.0469,4,89.3066,4,89.5078,4,89.752,4,89.957,4,90.2012,4,90.1895,4,89.6992,4,90.2266,4,89.7246,4,89.3457
5,83.6914,5,87.5293,5,88.2656,5,88.5254,5,88.8965,5,89.1094,5,89.168,5,89.3691,5,88.9141,5,88.6289,5,88.3262,5,88.1406,5,88.0684,5,88.4355,5,88.8926,5,88.7852,5,88.8691,5,89.3926,5,89.2344,5,89.7988,5,89.9648,5,90.1543,5,90.166,5,89.7227,5,90.1855,5,89.625,5,89.3477
6,83.7832,6,87.2695,6,88.1445,6,88.4922,6,88.6035,6,88.8691,6,89.1211,6,89.2695,6,88.9219,6,88.4297,6,88.1465,6,88.043,6,88.0332,6,88.2227,6,88.7695,6,88.7676,6,88.9844,6,89.1582,6,89.1953,6,89.8047,6,89.7539,6,90.1055,6,90.0938,6,89.6738,6,90.209,6,89.5039,6,89.168
7,83.7129,7,86.9961,7,87.7715,7,88.1387,7,88.1934,7,88.5352,7,88.7949,7,88.6484,7,88.3633,7,87.877,7,87.6641,7,87.7051,7,87.5449,7,87.8672,7,88.5898,7,88.5762,7,88.5488,7,88.8301,7,88.8301,7,89.377,7,89.5957,7,89.7422,7,89.5742,7,89.2402,7,89.7793,7,89.1133,7,88.6895
8,83.4141,8,87.0938,8,87.8203,8,88.3105,8,88.3848,8,88.666,8,88.9043,8,88.752,8,88.4922,8,88.0156,8,87.793,8,87.6289,8,87.6348,8,87.8301,8,88.7539,8,88.5137,8,88.5938,8,88.9727,8,89.0078,8,89.4297,8,89.6816,8,89.8008,8,89.7402,8,89.3867,8,89.9375,8,89.3594,8,88.9258
9,83.6387,9,87.4277,9,88.043,9,88.4648,9,88.6484,9,88.9375,9,89.0078,9,89.2402,9,88.8984,9,88.2988,9,88.1563,9,87.9336,9,88.0664,9,88.1484,9,88.8809,9,88.625,9,88.7676,9,89.0938,9,89.1738,9,89.666,9,89.8691,9,90.002,9,89.9023,9,89.5449,9,90.1738,9,89.4316,9,89.1914
10,83.8262,10,87.4219,10,88.0938,10,88.4141,10,88.8125,10,88.8281,10,89.2402,10,89.293,10,88.9629,10,88.334,10,88.1641,10,87.9648,10,88.1035,10,88.1543,10,88.6523,10,88.6016,10,88.9375,10,89.0391,10,89.0156,10,89.6309,10,89.9258,10,89.9883,10,89.8555,10,89.5195,10,90.1152,10,89.4258,10,89.1426
