Cycle=1_Fc=2-1_X,Cycle=1_Fc=2-1_Y,Cycle=2_Fc=2-1_X,Cycle=2_Fc=2-1_Y,Cycle=3_Fc=2-1_X,Cycle=3_Fc=2-1_Y,Cycle=4_Fc=2-1_X,Cycle=4_Fc=2-1_Y,Cycle=5_Fc=2-1_X,Cycle=5_Fc=2-1_Y,Cycle=6_Fc=2-1_X,Cycle=6_Fc=2-1_Y,Cycle=7_Fc=2-1_X,Cycle=7_Fc=2-1_Y,Cycle=8_Fc=2-1_X,Cycle=8_Fc=2-1_Y,Cycle=9_Fc=2-1_X,Cycle=9_Fc=2-1_Y,Cycle=10_Fc=2-1_X,Cycle=10_Fc=2-1_Y,Cycle=11_Fc=2-1_X,Cycle=11_Fc=2-1_Y,Cycle=12_Fc=2-1_X,Cycle=12_Fc=2-1_Y,Cycle=13_Fc=2-1_X,Cycle=13_Fc=2-1_Y,Cycle=14_Fc=2-1_X,Cycle=14_Fc=2-1_Y,Cycle=15_Fc=2-1_X,Cycle=15_Fc=2-1_Y,Cycle=16_Fc=2-1_X,Cycle=16_Fc=2-1_Y,Cycle=17_Fc=2-1_X,Cycle=17_Fc=2-1_Y,Cycle=18_Fc=2-1_X,Cycle=18_Fc=2-1_Y,Cycle=19_Fc=2-1_X,Cycle=19_Fc=2-1_Y,Cycle=20_Fc=2-1_X,Cycle=20_Fc=2-1_Y,Cycle=21_Fc=2-1_X,Cycle=21_Fc=2-1_Y
1,54.2285,1,56.1836,1,57.4863,1,59.2832,1,59.7676,1,60.9375,1,63.0371,1,63.4824,1,65.1563,1,68.0977,1,68.7207,1,70.6348,1,73.9414,1,74.9961,1,78.2051,1,81.0605,1,81.8145,1,85.4961,1,88.3223,1,88.5723,1,90.2988
2,54.2832,2,56.0254,2,57.3789,2,59.2559,2,59.7168,2,60.9063,2,63.0469,2,63.5098,2,65.2969,2,68.0605,2,68.623,2,70.5176,2,73.8262,2,74.8691,2,78.2402,2,81.0293,2,81.8066,2,85.4023,2,88.2461,2,88.5801,2,90.4844
3,54.3145,3,56.2402,3,57.6328,3,59.4238,3,59.916,3,61.0664,3,63.2422,3,63.5195,3,65.3008,3,68.1055,3,68.6309,3,70.6445,3,73.916,3,74.9141,3,78.2383,3,80.9512,3,81.6602,3,85.5176,3,88.3047,3,88.7051,3,90.4922
4,54.5117,4,56.498,4,57.8984,4,59.7656,4,60.25,4,61.4395,4,63.502,4,64.0039,4,65.5098,4,68.2773,4,68.7773,4,70.6699,4,73.7949,4,74.9785,4,78.3984,4,80.7539,4,81.6055,4,85.4961,4,88.459,4,88.7637,4,90.5586
5,54.6328,5,56.5508,5,57.8359,5,59.7051,5,60.3125,5,61.3281,5,63.584,5,63.9082,5,65.5938,5,68.3066,5,68.75,5,70.668,5,73.7832,5,74.832,5,78.2676,5,80.7363,5,81.6543,5,85.4453,5,88.252,5,88.8438,5,90.5898
6,54.7148,6,56.4297,6,57.7285,6,59.6133,6,60.2109,6,61.3359,6,63.498,6,63.8984,6,65.5332,6,68.1777,6,68.6582,6,70.5879,6,73.6973,6,74.7578,6,78.084,6,80.7813,6,81.5039,6,85.2793,6,88.3125,6,88.793,6,90.5273
7,54.5234,7,56.2168,7,57.3926,7,59.3105,7,59.9551,7,61.0723,7,63.1465,7,63.6758,7,65.2441,7,67.9609,7,68.3867,7,70.5645,7,73.5488,7,74.7324,7,77.9395,7,80.6387,7,81.4004,7,85.3066,7,88.2246,7,88.4902,7,90.2793
8,54.3633,8,56.3555,8,57.6016,8,59.3516,8,59.8945,8,61.1426,8,63.1836,8,63.5957,8,65.2734,8,68.2227,8,68.5039,8,70.6973,8,73.7813,8,74.8711,8,77.9785,8,80.7578,8,81.4922,8,85.3066,8,88.3281,8,88.6387,8,90.3711
9,54.5156,9,56.541,9,57.8223,9,59.5996,9,60.2715,9,61.3828,9,63.4785,9,63.9355,9,65.6445,9,68.1973,9,68.5469,9,70.6328,9,73.7422,9,74.8301,9,78.1758,9,80.5996,9,81.5117,9,85.2402,9,88.3359,9,88.7773,9,90.6875
10,54.7227,10,56.5703,10,57.8691,10,59.623,10,60.2871,10,61.4727,10,63.6309,10,63.8496,10,65.5293,10,68.2402,10,68.5293,10,70.7227,10,73.7832,10,74.8105,10,78.1328,10,80.6543,10,81.5645,10,85.2676,10,88.3691,10,88.7988,10,90.7363
